"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"6800","제주특별자치도","서귀포시","지방도",2,126.667681,"2",60,NA
"6801","제주특별자치도","서귀포시","지방도",2,126.330041,"2",70,NA
"6804","제주특별자치도","제주시","지방도",1,126.712721,"2",30,NA
"6805","제주특별자치도","제주시","시도",1,126.485951,"2",50,NA
"6806","제주특별자치도","제주시","시도",2,126.581141,"2",50,NA
"6807","제주특별자치도","서귀포시","지방도",2,126.906761,"1",50,2.4
"6808","제주특별자치도","서귀포시","지방도",2,126.884491,"1",50,2.4
"6809","제주특별자치도","제주시","시도",1,126.436351,"1",50,2.6
"6810","제주특별자치도","제주시","시도",1,126.462241,"1",50,2.6
"6811","제주특별자치도","제주시","시도",1,126.502141,"1",50,2.7
"6812","제주특별자치도","제주시","시도",1,126.502141,"1",50,2.7
"6813","제주특별자치도","제주시","시도",1,126.531841,"1",50,2.7
"6814","제주특별자치도","제주시","시도",1,126.531841,"1",50,2.7
"6815","제주특별자치도","서귀포시","지방도",2,126.691211,"1",50,NA
"6816","제주특별자치도","서귀포시","지방도",1,126.691211,"1",50,NA
"6817","제주특별자치도","제주시","지방도",1,126.549111,"1",60,NA
"6818","제주특별자치도","제주시","지방도",1,126.549111,"1",60,NA
"6819","제주특별자치도","제주시","지방도",1,126.545661,"1",60,NA
"6820","제주특별자치도","제주시","지방도",1,126.545661,"1",60,NA
"6821","제주특별자치도","제주시","지방도",2,126.712291,"1",30,NA
"6822","제주특별자치도","서귀포시","지방도",1,126.459851,"1",30,NA
"6823","제주특별자치도","서귀포시","지방도",1,126.369041,"1",30,NA
"6824","제주특별자치도","제주시","지방도",2,126.462471,"2",70,NA
"6825","제주특별자치도","제주시","지방도",2,126.462471,"2",70,NA
"13008","제주특별자치도","제주시","지방도",2,126.199821,"1",60,NA
"13009","제주특별자치도","제주시","시도",1,126.485091,"2",80,NA
"13010","제주특별자치도","서귀포시","지방도",2,126.767321,"2",50,NA
"13011","제주특별자치도","서귀포시","지방도",2,126.804491,"1",50,NA
"13012","제주특별자치도","제주시","지방도",1,126.892861,"2",70,NA
"13013","제주특별자치도","제주시","지방도",2,126.471851,"2",60,NA
"13014","제주특별자치도","제주시","시도",1,126.502191,"1",60,NA
"13015","제주특별자치도","서귀포시","국가지원지방도",2,126.823131,"2",70,NA
"13016","제주특별자치도","서귀포시","지방도",2,126.596381,"1",50,NA
"13017","제주특별자치도","서귀포시","시도",2,126.569131,"1",50,NA
"13018","제주특별자치도","제주시","지방도",2,126.693121,"2",30,NA
"13019","제주특별자치도","제주시","지방도",2,126.877561,"1",30,NA
"13020","제주특별자치도","서귀포시","지방도",2,126.851471,"2",30,NA
"13021","제주특별자치도","제주시","지방도",1,126.570181,"1",50,NA
"13022","제주특별자치도","서귀포시","지방도",2,126.828581,"2",70,NA
"13023","제주특별자치도","서귀포시","지방도",2,126.857851,"2",70,NA
"13024","제주특별자치도","제주시","지방도",1,126.560831,"1",50,NA
"13025","제주특별자치도","제주시","시도",1,126.525321,"1",50,NA
"13026","제주특별자치도","서귀포시","지방도",2,126.277291,"2",50,NA
"13027","제주특별자치도","서귀포시","지방도",2,126.525201,"2",70,NA
"13028","제주특별자치도","서귀포시","지방도",2,126.540861,"2",70,NA
"13029","제주특별자치도","서귀포시","지방도",2,126.508221,"2",50,NA
"13030","제주특별자치도","서귀포시","지방도",2,126.559371,"2",50,NA
"13031","제주특별자치도","제주시","지방도",2,126.235641,"2",70,NA
"13032","제주특별자치도","제주시","지방도",2,126.268671,"2",70,NA
"13033","제주특별자치도","제주시","지방도",2,126.429081,"1",80,15.3
"13034","제주특별자치도","서귀포시","지방도",2,126.352021,"1",80,15.3
"13035","제주특별자치도","제주시","시도",1,126.506171,"1",50,1
"13036","제주특별자치도","제주시","시도",1,126.503141,"1",50,1
"13037","제주특별자치도","제주시","시도",1,126.516201,"1",50,NA
"13038","제주특별자치도","제주시","지방도",1,126.484531,"1",60,NA
"13039","제주특별자치도","제주시","시도",2,126.426461,"1",80,NA
"13040","제주특별자치도","제주시","시도",1,126.536051,"2",70,NA
"13041","제주특별자치도","제주시","시도",2,126.511591,"1",50,NA
"13042","제주특별자치도","서귀포시","지방도",1,126.276031,"2",50,NA
"13043","제주특별자치도","제주시","지방도",1,126.580871,"2",50,NA
"13044","제주특별자치도","제주시","지방도",2,126.686501,"1",70,NA
"13045","제주특별자치도","제주시","국가지원지방도",2,126.580071,"1",70,NA
"13046","제주특별자치도","제주시","시도",1,126.540571,"1",50,NA
"13047","제주특별자치도","서귀포시","국가지원지방도",2,126.822741,"1",70,NA
"13048","제주특별자치도","서귀포시","지방도",1,126.911851,"1",60,NA
"13049","제주특별자치도","제주시","지방도",2,126.339991,"2",70,NA
"14297","제주특별자치도","서귀포시","지방도",2,126.559294,"1",30,NA
"14298","제주특별자치도","서귀포시","지방도",2,126.559304,"1",30,NA
"14299","제주특별자치도","서귀포시","지방도",1,126.557582,"1",50,NA
"14300","제주특별자치도","서귀포시","지방도",1,126.555957,"1",50,NA
"14301","제주특별자치도","제주시","지방도",1,126.573236,"1",50,NA
"14302","제주특별자치도","제주시","지방도",1,126.672129,"1",30,NA
"14303","제주특별자치도","서귀포시","지방도",1,126.765561,"1",30,NA
"14304","제주특별자치도","제주시","지방도",1,126.25203,"1",30,NA
"14305","제주특별자치도","서귀포시","지방도",1,126.299591,"1",30,NA
"14306","제주특별자치도","서귀포시","지방도",2,126.569824,"1",30,NA
"14307","제주특별자치도","서귀포시","지방도",2,126.225434,"2",60,NA
"14516","제주특별자치도","제주시","시도",1,126.557861,"1",50,NA
"14517","제주특별자치도","제주시","지방도",1,126.620471,"1",50,10.7
"14518","제주특별자치도","제주시","지방도",1,126.562591,"1",50,10.7
"14519","제주특별자치도","제주시","시도",1,126.463031,"1",50,1.3
"14520","제주특별자치도","제주시","시도",1,126.455741,"1",50,1.3
"14539","제주특별자치도","제주시","국가지원지방도",2,126.735901,"2",70,NA
"14540","제주특별자치도","서귀포시","지방도",2,126.369401,"1",50,NA
"14541","제주특별자치도","제주시","지방도",2,126.637941,"1",50,NA
"14542","제주특별자치도","서귀포시","지방도",2,126.910271,"1",30,NA
"14543","제주특별자치도","제주시","지방도",1,126.545271,"2",30,NA
"14544","제주특별자치도","제주시","시도",2,126.547781,"2",50,NA
"14545","제주특별자치도","제주시","시도",2,126.433521,"1",50,NA
"14547","제주특별자치도","제주시","시도",1,126.543391,"2",50,NA
"14548","제주특별자치도","서귀포시","지방도",2,126.758061,"2",50,NA
"14549","제주특별자치도","서귀포시","지방도",2,126.685041,"1",60,NA
"14550","제주특별자치도","서귀포시","지방도",2,126.462451,"1",60,8.7
"14551","제주특별자치도","서귀포시","지방도",2,126.554681,"1",60,8.7
"15605","제주특별자치도","서귀포시","지방도",1,126.324761,"2",80,NA
"15606","제주특별자치도","제주시","지방도",1,126.272411,"2",70,NA
"15607","제주특별자치도","제주시","지방도",2,126.645021,"2",70,NA
"15608","제주특별자치도","제주시","지방도",1,126.644671,"2",70,NA
"15609","제주특별자치도","서귀포시","지방도",2,126.272411,"2",30,NA
"15610","제주특별자치도","서귀포시","지방도",1,126.272411,"2",30,NA
"15611","제주특별자치도","서귀포시","지방도",1,126.272411,"2",70,NA
"15612","제주특별자치도","서귀포시","지방도",2,126.272411,"2",70,NA
"15613","제주특별자치도","서귀포시","지방도",1,126.460021,"1",60,11.7
"15614","제주특별자치도","서귀포시","지방도",1,126.357001,"1",60,11.7
"15615","제주특별자치도","서귀포시","지방도",2,126.357061,"1",60,11.7
"15616","제주특별자치도","서귀포시","지방도",2,126.459991,"1",60,11.7
"15617","제주특별자치도","서귀포시","지방도",2,126.595051,"2",60,NA
"15618","제주특별자치도","서귀포시","지방도",2,126.598161,"2",70,NA
"15619","제주특별자치도","서귀포시","지방도",1,126.448841,"2",70,NA
"15620","제주특별자치도","제주시","지방도",1,126.790951,"1",70,NA
"15621","제주특별자치도","제주시","지방도",2,126.374291,"1",30,NA
"15622","제주특별자치도","제주시","지방도",2,126.277511,"1",60,NA
"15623","제주특별자치도","서귀포시","지방도",1,126.617761,"2",50,NA
"15624","제주특별자치도","제주시","지방도",1,126.481831,"2",50,NA
"15625","제주특별자치도","제주시","지방도",1,126.452751,"2",70,NA
"15652","제주특별자치도","서귀포시","지방도",1,126.554661,"1",60,8.7
"15653","제주특별자치도","서귀포시","지방도",1,126.462421,"1",60,8.7
"16410","제주특별자치도","서귀포시","지방도",2,126.594381,"1",30,NA
"16411","제주특별자치도","서귀포시","지방도",1,126.567241,"2",50,NA
"16412","제주특별자치도","서귀포시","지방도",1,126.519831,"1",50,NA
"16413","제주특별자치도","서귀포시","지방도",2,126.426961,"2",70,NA
"16414","제주특별자치도","제주시","시도",2,126.496321,"2",50,NA
"16415","제주특별자치도","제주시","지방도",1,126.623411,"2",70,NA
"17833","제주특별자치도","서귀포시","지방도",2,126.911611,"2",30,NA
"17834","제주특별자치도","제주시","국가지원지방도",1,126.677991,"2",70,NA
"17835","제주특별자치도","제주시","국가지원지방도",1,126.657061,"2",70,NA
"17836","제주특별자치도","서귀포시","지방도",2,126.584761,"2",60,NA
